Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
0; 10; -1; 4; 4; 800; 600; 0.0046502; 0.0065343; 0.00584006; 153.039; 215.045; 171.328
0; 10; -1; 4; 4; 1920; 1080; 0.004412; 0.0068155; 0.00586899; 146.724; 226.655; 170.485
0; 10; -1; 4; 8; 800; 600; 0.004367; 0.0070598; 0.0058539; 141.647; 228.99; 170.958
0; 10; -1; 4; 8; 1920; 1080; 0.0047534; 0.0063233; 0.00586837; 158.145; 210.376; 170.482
0; 10; -1; 4; 16; 800; 600; 0.0047051; 0.0062635; 0.00584599; 159.655; 212.535; 171.149
0; 10; -1; 4; 16; 1920; 1080; 0.0049054; 0.0064009; 0.00586032; 156.228; 203.857; 170.721
0; 10; -1; 16; 4; 800; 600; 0.0050837; 0.0062775; 0.00587122; 159.299; 196.707; 170.377
0; 10; -1; 16; 4; 1920; 1080; 0.0072279; 0.0103313; 0.00882864; 96.7932; 138.353; 113.458
0; 10; -1; 16; 8; 800; 600; 0.0029224; 0.0068443; 0.00584986; 146.107; 342.185; 171.436
0; 10; -1; 16; 8; 1920; 1080; 0.0072044; 0.0104762; 0.00889312; 95.4545; 138.804; 112.629
0; 10; -1; 16; 16; 800; 600; 0.0049942; 0.0062097; 0.00587287; 161.038; 200.232; 170.332
0; 10; -1; 16; 16; 1920; 1080; 0.0069953; 0.0105998; 0.00879443; 94.3414; 142.953; 113.895
0; 10; -1; 32; 4; 800; 600; 0.0049191; 0.0063753; 0.00585763; 156.855; 203.289; 170.799
0; 10; -1; 32; 4; 1920; 1080; 0.0147512; 0.019859; 0.0173914; 50.355; 67.7911; 57.5683
0; 10; -1; 32; 8; 800; 600; 0.0046106; 0.006317; 0.00582926; 158.303; 216.892; 171.665
0; 10; -1; 32; 8; 1920; 1080; 0.0150036; 0.0196383; 0.017372; 50.9209; 66.6507; 57.6384
0; 10; -1; 32; 16; 800; 600; 0.0039312; 0.0064147; 0.00582766; 155.892; 254.375; 171.76
0; 10; -1; 32; 16; 1920; 1080; 0.0150456; 0.0197943; 0.0173498; 50.5196; 66.4646; 57.7101
0; 100; -1; 4; 4; 800; 600; 0.0041419; 0.0063085; 0.00581227; 158.516; 241.435; 172.224
0; 100; -1; 4; 4; 1920; 1080; 0.0126202; 0.0213583; 0.017288; 46.8202; 79.238; 57.948
0; 100; -1; 4; 8; 800; 600; 0.0033011; 0.0065874; 0.00579416; 151.805; 302.929; 173.077
0; 100; -1; 4; 8; 1920; 1080; 0.0144175; 0.0221339; 0.0185509; 45.1796; 69.3602; 54.0032
0; 100; -1; 4; 16; 800; 600; 0.0049617; 0.0065212; 0.00583164; 153.346; 201.544; 171.637
0; 100; -1; 4; 16; 1920; 1080; 0.0160052; 0.0208663; 0.0184604; 47.9242; 62.4797; 54.2273
0; 100; -1; 16; 4; 800; 600; 0.0162461; 0.0222046; 0.0190695; 45.0357; 61.5532; 52.5068
0; 100; -1; 16; 4; 1920; 1080; 0.0657404; 0.0743561; 0.0694951; 13.4488; 15.2113; 14.3926
0; 100; -1; 16; 8; 800; 600; 0.0188654; 0.0235731; 0.0212208; 42.4212; 53.0071; 47.1738
0; 100; -1; 16; 8; 1920; 1080; 0.0677706; 0.0774084; 0.0727678; 12.9185; 14.7557; 13.7471
0; 100; -1; 16; 16; 800; 600; 0.0181626; 0.0227427; 0.0204423; 43.9702; 55.0582; 48.967
0; 100; -1; 16; 16; 1920; 1080; 0.0699149; 0.0783398; 0.0743248; 12.7649; 14.3031; 13.4587
0; 100; -1; 32; 4; 800; 600; 0.0346374; 0.0409119; 0.0378986; 24.4428; 28.8705; 26.397
0; 100; -1; 32; 4; 1920; 1080; 0.133851; 0.140854; 0.137231; 7.09955; 7.47097; 7.28749
0; 100; -1; 32; 8; 800; 600; 0.0376402; 0.0455713; 0.0402414; 21.9436; 26.5673; 24.8641
0; 100; -1; 32; 8; 1920; 1080; 0.14407; 0.153642; 0.14874; 6.50864; 6.94108; 6.72383
0; 100; -1; 32; 16; 800; 600; 0.0378345; 0.0442615; 0.040799; 22.593; 26.4309; 24.5241
0; 100; -1; 32; 16; 1920; 1080; 0.138177; 0.148476; 0.142753; 6.73511; 7.23707; 7.00606
0; 250; -1; 4; 4; 800; 600; 0.0142135; 0.0183366; 0.0162967; 54.5357; 70.3556; 61.4322
0; 250; -1; 4; 4; 1920; 1080; 0.0568152; 0.0641248; 0.0605124; 15.5946; 17.6009; 16.5289
0; 250; -1; 4; 8; 800; 600; 0.017735; 0.0221949; 0.0198607; 45.0554; 56.3857; 50.4003
0; 250; -1; 4; 8; 1920; 1080; 0.066219; 0.074407; 0.0704987; 13.4396; 15.1014; 14.1879
0; 250; -1; 4; 16; 800; 600; 0.0174978; 0.0226578; 0.019883; 44.1349; 57.15; 50.3516
0; 250; -1; 4; 16; 1920; 1080; 0.0678814; 0.0752382; 0.0716187; 13.2911; 14.7316; 13.9661
0; 250; -1; 16; 4; 800; 600; 0.0619137; 0.069177; 0.0654873; 14.4557; 16.1515; 15.2748
0; 250; -1; 16; 4; 1920; 1080; 0.242801; 0.252083; 0.247301; 3.96694; 4.1186; 4.04386
0; 250; -1; 16; 8; 800; 600; 0.075519; 0.0833453; 0.0794018; 11.9983; 13.2417; 12.5974
0; 250; -1; 16; 8; 1920; 1080; 0.278622; 0.291271; 0.284482; 3.43323; 3.58909; 3.51537
0; 250; -1; 16; 16; 800; 600; 0.0726306; 0.0818255; 0.0769249; 12.2211; 13.7683; 13.0048
0; 250; -1; 16; 16; 1920; 1080; 0.217886; 0.334247; 0.279195; 2.9918; 4.58955; 3.58441
0; 250; -1; 32; 4; 800; 600; 0.123337; 0.135092; 0.128547; 7.40238; 8.10787; 7.78127
0; 250; -1; 32; 4; 1920; 1080; 0.477982; 0.496162; 0.487057; 2.01547; 2.09213; 2.05324
0; 250; -1; 32; 8; 800; 600; 0.148578; 0.162413; 0.15517; 6.15714; 6.73046; 6.44615
0; 250; -1; 32; 8; 1920; 1080; 0.563208; 0.59935; 0.579391; 1.66847; 1.77554; 1.72605
0; 250; -1; 32; 16; 800; 600; 0.151211; 0.165177; 0.15776; 6.0541; 6.61326; 6.34014
