Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
0; 500; -1; 4; 4; 800; 600; 0.0204362; 0.026375; 0.0225784; 37.9147; 48.9328; 44.4075
0; 1000; -1; 4; 4; 800; 600; 0.0493423; 0.0694503; 0.0513321; 14.3988; 20.2666; 19.5334
0; 2000; -1; 4; 4; 800; 600; 0.121849; 0.133367; 0.123246; 7.49811; 8.20686; 8.11524
1; 500; 10; 4; 4; 800; 600; 0.018219; 0.024264; 0.0204366; 41.2133; 54.8878; 49.1922
1; 500; 250; 4; 4; 800; 600; 0.0183285; 0.0226315; 0.0197651; 44.1862; 54.5598; 50.7352
1; 500; 500; 4; 4; 800; 600; 0.0151141; 0.0234265; 0.0199865; 42.6867; 66.1634; 50.3795
1; 500; 1000; 4; 4; 800; 600; 0.0185107; 0.0246711; 0.0206672; 40.5333; 54.0228; 48.5598
1; 1000; 10; 4; 4; 800; 600; 0.0160413; 0.0245176; 0.0211465; 40.787; 62.3391; 47.5383
1; 1000; 500; 4; 4; 800; 600; 0.019915; 0.0257255; 0.0217137; 38.8719; 50.2134; 46.1835
1; 1000; 1000; 4; 4; 800; 600; 0.0180423; 0.0241287; 0.0199933; 41.4444; 55.4253; 50.2024
1; 1000; 2000; 4; 4; 800; 600; 0.0192842; 0.0240897; 0.0206746; 41.5115; 51.8559; 48.4609
1; 2000; 10; 4; 4; 800; 600; 0.0375358; 0.0433407; 0.0393139; 23.073; 26.6412; 25.4619
1; 2000; 1000; 4; 4; 800; 600; 0.0382696; 0.0458769; 0.0407193; 21.7975; 26.1304; 24.5987
1; 2000; 2000; 4; 4; 800; 600; 0.0376452; 0.0445205; 0.0396521; 22.4616; 26.5638; 25.258
1; 2000; 4000; 4; 4; 800; 600; 0.0403055; 0.0485093; 0.0421645; 20.6146; 24.8105; 23.7374
